TOWN,eb_rate_estimate,year,drug
ACUSHNET,4.67260205972e-4,2016,alprazolam
ACUSHNET,4.74682765541e-4,2017,alprazolam
ACUSHNET,4.6978385448e-4,2013,diazepam
ACUSHNET,4.83354707426e-4,2014,diazepam
ACUSHNET,5.05826393948e-4,2015,diazepam
ACUSHNET,5.38523684658e-4,2016,diazepam
ACUSHNET,5.33807272349e-4,2017,diazepam
ACUSHNET,8.29619197316e-4,2013,lorazepam
ACUSHNET,8.35189461345e-4,2014,lorazepam
ACUSHNET,8.2822585367e-4,2015,lorazepam
ACUSHNET,8.41893345063e-4,2016,lorazepam
ACUSHNET,8.14853268932e-4,2017,lorazepam
ACUSHNET,7.4101033959e-4,2013,tot_benzo
ACUSHNET,7.48870277517e-4,2014,tot_benzo
ACUSHNET,7.37719445268e-4,2015,tot_benzo
ACUSHNET,7.77712490661e-4,2016,tot_benzo
ACUSHNET,7.63549587556e-4,2017,tot_benzo
ACUSHNET,7.1142681335e-4,2013,tot_opioid
ACUSHNET,7.06977991147e-4,2014,tot_opioid
ACUSHNET,6.94367215566e-4,2015,tot_opioid
ACUSHNET,6.90334523693e-4,2016,tot_opioid
ACUSHNET,6.76101497322e-4,2017,tot_opioid
ADAMS,0.072844920658832,2013,alprazolam
ADAMS,0.088128482652559,2014,alprazolam
ADAMS,0.11354511001913,2015,alprazolam
ADAMS,0.133349831377031,2016,alprazolam
ADAMS,0.158196663632361,2017,alprazolam
ADAMS,0.040493317644385,2013,diazepam
ADAMS,0.045563572789567,2014,diazepam
ADAMS,0.05734068395407,2015,diazepam
ADAMS,0.066322043703618,2016,diazepam
ADAMS,0.055104587349901,2017,diazepam
ADAMS,0.41171572522333,2013,lorazepam
ADAMS,0.405034539274267,2014,lorazepam
ADAMS,0.441241663630365,2015,lorazepam
ADAMS,0.505764558568664,2016,lorazepam
ADAMS,0.506345017955005,2017,lorazepam
ADAMS,0.524907421398109,2013,tot_benzo
ADAMS,0.538554738175843,2014,tot_benzo
ADAMS,0.612144113698764,2015,tot_benzo
ADAMS,0.705578063607579,2016,tot_benzo
ADAMS,0.71972723098586,2017,tot_benzo
ADAMS,21.391859865092037,2013,tot_opioid
ADAMS,21.52567351831224,2014,tot_opioid
ADAMS,21.284205062169388,2015,tot_opioid
ADAMS,23.985415434857018,2016,tot_opioid
ADAMS,25.196843197814605,2017,tot_opioid
AGAWAM,0.085134401738201,2013,alprazolam
AGAWAM,0.113523362441666,2014,alprazolam
AGAWAM,0.110784792741381,2015,alprazolam
AGAWAM,0.086932342405757,2016,alprazolam
AGAWAM,0.063070115167408,2017,alprazolam
AGAWAM,0.023363176390752,2013,diazepam
AGAWAM,0.032543254354308,2014,diazepam
AGAWAM,0.036407909091146,2015,diazepam
AGAWAM,0.029013566767324,2016,diazepam
AGAWAM,0.026598151650406,2017,diazepam
AGAWAM,0.216879850309131,2013,lorazepam
AGAWAM,0.229634742778283,2014,lorazepam
AGAWAM,0.210935097385306,2015,lorazepam
AGAWAM,0.207081697462387,2016,lorazepam
AGAWAM,0.166435417809522,2017,lorazepam
AGAWAM,0.325205347040498,2013,tot_benzo
AGAWAM,0.375554337985702,2014,tot_benzo
AGAWAM,0.357972827594724,2015,tot_benzo
AGAWAM,0.322818744047321,2016,tot_benzo
AGAWAM,0.255860412131491,2017,tot_benzo
AGAWAM,16.294042869243714,2013,tot_opioid
AGAWAM,15.913746741280862,2014,tot_opioid
AGAWAM,15.39252808907244,2015,tot_opioid
AGAWAM,15.832405254191844,2016,tot_opioid
AGAWAM,15.846772470752981,2017,tot_opioid
ALFORD,0.004579597882237,2013,alprazolam
ALFORD,0.004812010057154,2014,alprazolam
ALFORD,0.004622903438724,2015,alprazolam
ALFORD,0.005044182998054,2016,alprazolam
ALFORD,0.005121868121809,2017,alprazolam
ALFORD,0.004858408076456,2013,diazepam
ALFORD,0.004999124874442,2014,diazepam
ALFORD,0.005206746160699,2015,diazepam
ALFORD,0.005522241935314,2016,diazepam
ALFORD,0.005473643078972,2017,diazepam
ALFORD,0.008960636208146,2013,lorazepam
ALFORD,0.009034829909314,2014,lorazepam
ALFORD,0.008968910483845,2015,lorazepam
ALFORD,0.009129697903691,2016,lorazepam
ALFORD,0.008843050503554,2017,lorazepam
ALFORD,0.008105916546297,2013,tot_benzo
ALFORD,0.008198324486703,2014,tot_benzo
ALFORD,0.008080919777269,2015,tot_benzo
ALFORD,0.008520056650174,2016,tot_benzo
ALFORD,0.008366744518866,2017,tot_benzo
ALFORD,0.007894879746208,2013,tot_opioid
ALFORD,0.007845612116894,2014,tot_opioid
ALFORD,0.007705762015141,2015,tot_opioid
ALFORD,0.007661163351337,2016,tot_opioid
ALFORD,0.007503288072729,2017,tot_opioid
AMESBURY,0.25133244762366,2013,alprazolam
AMESBURY,0.268623006785627,2014,alprazolam
AMESBURY,0.266627092549924,2015,alprazolam
AMESBURY,0.305883929684203,2016,alprazolam
AMESBURY,0.232466351904288,2017,alprazolam
AMESBURY,0.158808388726394,2013,diazepam
AMESBURY,0.174662791508113,2014,diazepam
AMESBURY,0.172249579154484,2015,diazepam
AMESBURY,0.169523858727511,2016,diazepam
AMESBURY,0.09373705802422,2017,diazepam
AMESBURY,0.446264931935472,2013,lorazepam
AMESBURY,0.463246444773565,2014,lorazepam
AMESBURY,0.439931575644124,2015,lorazepam
AMESBURY,0.472823478836932,2016,lorazepam
AMESBURY,0.368244935561321,2017,lorazepam
AMESBURY,0.857156570333266,2013,tot_benzo
AMESBURY,0.907348054176584,2014,tot_benzo
AMESBURY,0.87960661755884,2015,tot_benzo
AMESBURY,0.949088506945041,2016,tot_benzo
AMESBURY,0.694702409868273,2017,tot_benzo
AMESBURY,13.265448065207934,2013,tot_opioid
AMESBURY,13.113885094835986,2014,tot_opioid
AMESBURY,12.000314249575007,2015,tot_opioid
AMESBURY,14.448230469627164,2016,tot_opioid
AMESBURY,13.332959088242704,2017,tot_opioid
AMHERST,0.045800376232674,2013,alprazolam
AMHERST,0.121852159309693,2014,alprazolam
AMHERST,0.084411498969176,2015,alprazolam
AMHERST,0.088754236183669,2016,alprazolam
AMHERST,0.063698413070009,2017,alprazolam
AMHERST,0.03880526261479,2013,diazepam
AMHERST,0.066092188181696,2014,diazepam
AMHERST,0.031354426335288,2015,diazepam
AMHERST,0.050019762357762,2016,diazepam
AMHERST,0.031938978053159,2017,diazepam
AMHERST,0.155838168826946,2013,lorazepam
AMHERST,0.192733039738818,2014,lorazepam
AMHERST,0.153849384742732,2015,lorazepam
AMHERST,0.220143338227038,2016,lorazepam
AMHERST,0.182389442276439,2017,lorazepam
AMHERST,0.240100975734851,2013,tot_benzo
AMHERST,0.380531709336132,2014,tot_benzo
AMHERST,0.269243212692988,2015,tot_benzo
AMHERST,0.358657333903279,2016,tot_benzo
AMHERST,0.277629697957242,2017,tot_benzo
AMHERST,8.23409999753569,2013,tot_opioid
AMHERST,10.00492172306184,2014,tot_opioid
AMHERST,7.900775413156183,2015,tot_opioid
AMHERST,11.526119155834751,2016,tot_opioid
AMHERST,11.49119756963653,2017,tot_opioid
ANDOVER,0.050784130740648,2013,alprazolam
ANDOVER,0.073552587830248,2014,alprazolam
ANDOVER,0.124845943414343,2015,alprazolam
ANDOVER,0.106174893329217,2016,alprazolam
ANDOVER,0.099552129657508,2017,alprazolam
ANDOVER,0.022911564328442,2013,diazepam
ANDOVER,0.031054567024208,2014,diazepam
ANDOVER,0.037498090012276,2015,diazepam
ANDOVER,0.025473545595617,2016,diazepam
ANDOVER,0.021912839373687,2017,diazepam
ANDOVER,0.110913103346809,2013,lorazepam
ANDOVER,0.139288738902598,2014,lorazepam
ANDOVER,0.178360806117524,2015,lorazepam
ANDOVER,0.160540111172918,2016,lorazepam
ANDOVER,0.146943533846472,2017,lorazepam
ANDOVER,0.184347597641967,2013,tot_benzo
ANDOVER,0.243666550301949,2014,tot_benzo
ANDOVER,0.34053696315666,2015,tot_benzo
ANDOVER,0.291950468138455,2016,tot_benzo
ANDOVER,0.268154506544402,2017,tot_benzo
ANDOVER,11.632361842518016,2013,tot_opioid
ANDOVER,13.534742250290583,2014,tot_opioid
ANDOVER,17.433698693255987,2015,tot_opioid
ANDOVER,19.571761850619797,2016,tot_opioid
ANDOVER,17.129175919028885,2017,tot_opioid
AQUINNAH,0.014126905626762,2013,alprazolam
AQUINNAH,0.014877643453446,2014,alprazolam
AQUINNAH,0.014365441067298,2015,alprazolam
AQUINNAH,0.015641770264433,2016,alprazolam
AQUINNAH,0.015865153911904,2017,alprazolam
AQUINNAH,0.013730323143969,2013,diazepam
AQUINNAH,0.014130115537172,2014,diazepam
AQUINNAH,0.014577269277407,2015,diazepam
AQUINNAH,0.015344272676496,2016,diazepam
AQUINNAH,0.015207948538027,2017,diazepam
AQUINNAH,0.027820333345073,2013,lorazepam
AQUINNAH,0.028152241578405,2014,lorazepam
AQUINNAH,0.028015446735153,2015,lorazepam
AQUINNAH,0.028611532662176,2016,lorazepam
AQUINNAH,0.027761816966075,2017,lorazepam
AQUINNAH,0.025935853178141,2013,tot_benzo
AQUINNAH,0.026281449330157,2014,tot_benzo
AQUINNAH,0.025941496661864,2015,tot_benzo
AQUINNAH,0.02735947163161,2016,tot_benzo
AQUINNAH,0.026881596491077,2017,tot_benzo
AQUINNAH,0.02617736862345,2013,tot_opioid
AQUINNAH,0.026014871228401,2014,tot_opioid
AQUINNAH,0.025551964778061,2015,tot_opioid
AQUINNAH,0.025405379668466,2016,tot_opioid
AQUINNAH,0.024882515335677,2017,tot_opioid
ARLINGTON,0.044798453705831,2013,alprazolam
ARLINGTON,0.050892378955845,2014,alprazolam
ARLINGTON,0.041273213800404,2015,alprazolam
ARLINGTON,0.040918599493844,2016,alprazolam
ARLINGTON,0.047858793043758,2017,alprazolam
ARLINGTON,0.035394845321301,2013,diazepam
ARLINGTON,0.033210721556544,2014,diazepam
ARLINGTON,0.037345172398142,2015,diazepam
ARLINGTON,0.035770439245656,2016,diazepam
ARLINGTON,0.038442771832329,2017,diazepam
ARLINGTON,0.134639516094878,2013,lorazepam
ARLINGTON,0.156438706505522,2014,lorazepam
ARLINGTON,0.154250206434852,2015,lorazepam
ARLINGTON,0.167044264302474,2016,lorazepam
ARLINGTON,0.177510517498999,2017,lorazepam
ARLINGTON,0.214673530485195,2013,tot_benzo
ARLINGTON,0.240376955800499,2014,tot_benzo
ARLINGTON,0.232705352138632,2015,tot_benzo
ARLINGTON,0.243556927042042,2016,tot_benzo
ARLINGTON,0.263648976504194,2017,tot_benzo
ARLINGTON,10.731357541367021,2013,tot_opioid
ARLINGTON,10.8711009019271,2014,tot_opioid
ARLINGTON,11.601480509864404,2015,tot_opioid
ARLINGTON,11.539961265094313,2016,tot_opioid
ARLINGTON,11.107336877865693,2017,tot_opioid
ASHBURNHAM,0.016641485330311,2013,alprazolam
ASHBURNHAM,0.001389535170009,2014,alprazolam
ASHBURNHAM,0.015388361157764,2015,alprazolam
ASHBURNHAM,0.001455113822323,2016,alprazolam
ASHBURNHAM,0.001478076541588,2017,alprazolam
ASHBURNHAM,0.044281996616601,2013,diazepam
ASHBURNHAM,0.040545481392801,2014,diazepam
ASHBURNHAM,0.036778291383273,2015,diazepam
ASHBURNHAM,0.001658163063038,2016,diazepam
ASHBURNHAM,0.001643624961284,2017,diazepam
ASHBURNHAM,0.273443382505411,2013,lorazepam
ASHBURNHAM,0.157272735185574,2014,lorazepam
ASHBURNHAM,0.240418359376535,2015,lorazepam
ASHBURNHAM,0.134388470483563,2016,lorazepam
ASHBURNHAM,0.124099127458856,2017,lorazepam
ASHBURNHAM,0.333271173971043,2013,tot_benzo
ASHBURNHAM,0.197369576462957,2014,tot_benzo
ASHBURNHAM,0.291053370935347,2015,tot_benzo
ASHBURNHAM,0.134617494967456,2016,tot_benzo
ASHBURNHAM,0.124314782518347,2017,tot_benzo
ASHBURNHAM,15.771432918836226,2013,tot_opioid
ASHBURNHAM,5.430873411845979,2014,tot_opioid
ASHBURNHAM,8.487306179981553,2015,tot_opioid
ASHBURNHAM,9.36614618271748,2016,tot_opioid
ASHBURNHAM,8.96796520827467,2017,tot_opioid
ASHBY,0.002059587152075,2013,alprazolam
ASHBY,0.002162812978403,2014,alprazolam
ASHBY,0.002075061616024,2015,alprazolam
ASHBY,0.002265400862274,2016,alprazolam
ASHBY,0.002300956191506,2017,alprazolam
ASHBY,0.002239067025081,2013,diazepam
ASHBY,0.002303816649622,2014,diazepam
ASHBY,0.002406304345806,2015,diazepam
ASHBY,0.002557904477421,2016,diazepam
ASHBY,0.002535458169143,2017,diazepam
ASHBY,0.004023042537673,2013,lorazepam
ASHBY,0.0040525257697,2014,lorazepam
ASHBY,0.004020392014844,2015,lorazepam
ASHBY,0.004088981747572,2016,lorazepam
ASHBY,0.00395880554063,2017,lorazepam
ASHBY,0.003611260713952,2013,tot_benzo
ASHBY,0.003650681082648,2014,tot_benzo
ASHBY,0.003597131457338,2015,tot_benzo
ASHBY,0.003792321239086,2016,tot_benzo
ASHBY,0.003723579326563,2017,tot_benzo
ASHBY,0.003486462620729,2013,tot_opioid
ASHBY,0.003464677855186,2014,tot_opioid
ASHBY,0.003402892874328,2015,tot_opioid
ASHBY,0.003383156133468,2016,tot_opioid
ASHBY,0.003313417183423,2017,tot_opioid
ASHFIELD,0.201608402539081,2013,alprazolam
ASHFIELD,0.363216185149541,2014,alprazolam
ASHFIELD,0.383851941541655,2015,alprazolam
ASHFIELD,0.228182219607096,2016,alprazolam
ASHFIELD,0.003335562241967,2017,alprazolam
ASHFIELD,0.210043260727347,2013,diazepam
ASHFIELD,0.305181704966263,2014,diazepam
ASHFIELD,0.270850423437163,2015,diazepam
ASHFIELD,0.192544022760938,2016,diazepam
ASHFIELD,0.003634057292803,2017,diazepam
ASHFIELD,0.478873583418623,2013,lorazepam
ASHFIELD,0.693128886571189,2014,lorazepam
ASHFIELD,0.592458546899257,2015,lorazepam
ASHFIELD,0.405124442605309,2016,lorazepam
ASHFIELD,0.005746202937359,2017,lorazepam
ASHFIELD,0.898842440584412,2013,tot_benzo
ASHFIELD,1.377025725366763,2014,tot_benzo
ASHFIELD,1.260971737633932,2015,tot_benzo
ASHFIELD,0.8330371739174,2016,tot_benzo
ASHFIELD,0.00541641265375,2017,tot_benzo
ASHFIELD,41.72007675933544,2013,tot_opioid
ASHFIELD,41.00586296366725,2014,tot_opioid
ASHFIELD,46.990314330463214,2015,tot_opioid
ASHFIELD,38.30715779372233,2016,tot_opioid
ASHFIELD,0.004833440377338,2017,tot_opioid
ASHLAND,0.019670881713172,2013,alprazolam
ASHLAND,0.018673058515336,2014,alprazolam
ASHLAND,0.040359011970747,2015,alprazolam
ASHLAND,0.071915846286229,2016,alprazolam
ASHLAND,0.060054468443003,2017,alprazolam
ASHLAND,3.88545498526e-4,2013,diazepam
ASHLAND,3.99769035882e-4,2014,diazepam
ASHLAND,4.18391610401e-4,2015,diazepam
ASHLAND,0.009220296108364,2016,diazepam
ASHLAND,0.010903821732354,2017,diazepam
ASHLAND,0.046792101435731,2013,lorazepam
ASHLAND,0.04341209616719,2014,lorazepam
ASHLAND,0.05866926939572,2015,lorazepam
ASHLAND,0.088191900983625,2016,lorazepam
ASHLAND,0.084105169264234,2017,lorazepam
ASHLAND,0.066112415735032,2013,tot_benzo
ASHLAND,0.061710954909783,2014,tot_benzo
ASHLAND,0.098701175995811,2015,tot_benzo
ASHLAND,0.168655952349357,2016,tot_benzo
ASHLAND,0.154391382520473,2017,tot_benzo
ASHLAND,6.80538767244177,2013,tot_opioid
ASHLAND,7.157744817356152,2014,tot_opioid
ASHLAND,7.611010937798303,2015,tot_opioid
ASHLAND,9.091112998048585,2016,tot_opioid
ASHLAND,9.260660753156534,2017,tot_opioid
ATHOL,0.092147445913179,2013,alprazolam
ATHOL,0.080833677233998,2014,alprazolam
ATHOL,0.14893443491802,2015,alprazolam
ATHOL,0.067703588608796,2016,alprazolam
ATHOL,0.072701500116582,2017,alprazolam
ATHOL,0.100348663273469,2013,diazepam
ATHOL,0.07823032175656,2014,diazepam
ATHOL,0.074148168175178,2015,diazepam
ATHOL,0.045270294483657,2016,diazepam
ATHOL,0.035788453568625,2017,diazepam
ATHOL,0.245618538405531,2013,lorazepam
ATHOL,0.276998403151419,2014,lorazepam
ATHOL,0.308357844128167,2015,lorazepam
ATHOL,0.352932511105504,2016,lorazepam
ATHOL,0.199401450928862,2017,lorazepam
ATHOL,0.438180882586181,2013,tot_benzo
ATHOL,0.435954395235645,2014,tot_benzo
ATHOL,0.531458264311561,2015,tot_benzo
ATHOL,0.465576591464155,2016,tot_benzo
ATHOL,0.307328623289057,2017,tot_benzo
ATHOL,31.03395709402673,2013,tot_opioid
ATHOL,30.834093550380075,2014,tot_opioid
ATHOL,31.891013118529035,2015,tot_opioid
ATHOL,30.28365381790887,2016,tot_opioid
ATHOL,22.612193199512,2017,tot_opioid
ATTLEBORO,0.113217327966757,2013,alprazolam
ATTLEBORO,0.161359916720047,2014,alprazolam
ATTLEBORO,0.12731234229846,2015,alprazolam
ATTLEBORO,0.116833282541356,2016,alprazolam
ATTLEBORO,0.135943249911412,2017,alprazolam
ATTLEBORO,0.051665685021286,2013,diazepam
ATTLEBORO,0.06931571451782,2014,diazepam
ATTLEBORO,0.06759011601794,2015,diazepam
ATTLEBORO,0.077774025959531,2016,diazepam
ATTLEBORO,0.097132541898285,2017,diazepam
ATTLEBORO,0.22759944212684,2013,lorazepam
ATTLEBORO,0.337682401750803,2014,lorazepam
ATTLEBORO,0.286679837447737,2015,lorazepam
ATTLEBORO,0.32018214657313,2016,lorazepam
ATTLEBORO,0.328372534840477,2017,lorazepam
ATTLEBORO,0.39240731427081,2013,tot_benzo
ATTLEBORO,0.568374831129778,2014,tot_benzo
ATTLEBORO,0.481553752480669,2015,tot_benzo
ATTLEBORO,0.514777658827372,2016,tot_benzo
ATTLEBORO,0.56149800559324,2017,tot_benzo
ATTLEBORO,25.017688547292614,2013,tot_opioid
ATTLEBORO,29.06397052801762,2014,tot_opioid
ATTLEBORO,28.036230312810133,2015,tot_opioid
ATTLEBORO,29.40097159565192,2016,tot_opioid
ATTLEBORO,30.89686637774447,2017,tot_opioid
AUBURN,0.202388928300171,2013,alprazolam
AUBURN,0.244422554650584,2014,alprazolam
AUBURN,0.238444735692162,2015,alprazolam
AUBURN,0.234910096421817,2016,alprazolam
AUBURN,0.242818092714153,2017,alprazolam
AUBURN,0.160235190542841,2013,diazepam
AUBURN,0.17982749828802,2014,diazepam
AUBURN,0.171081231130808,2015,diazepam
AUBURN,0.165620119428923,2016,diazepam
AUBURN,0.16670370975423,2017,diazepam
AUBURN,0.727017236821119,2013,lorazepam
AUBURN,0.863238830839347,2014,lorazepam
AUBURN,0.803541818266045,2015,lorazepam
AUBURN,0.750689438898669,2016,lorazepam
AUBURN,0.766809509861091,2017,lorazepam
AUBURN,1.090441329064406,2013,tot_benzo
AUBURN,1.288463185908789,2014,tot_benzo
AUBURN,1.21396063268573,2015,tot_benzo
AUBURN,1.152012552661787,2016,tot_benzo
AUBURN,1.177142026616589,2017,tot_benzo
AUBURN,44.19586056318058,2013,tot_opioid
AUBURN,48.974436678300826,2014,tot_opioid
AUBURN,45.30303741931046,2015,tot_opioid
AUBURN,46.32822182524485,2016,tot_opioid
AUBURN,44.451257781948776,2017,tot_opioid
AVON,0.100481321758947,2013,alprazolam
AVON,0.06183937068003,2014,alprazolam
AVON,0.052135351926887,2015,alprazolam
AVON,0.023175755791763,2016,alprazolam
AVON,0.001401125343661,2017,alprazolam
AVON,0.014520330616169,2013,diazepam
AVON,0.001414520451592,2014,diazepam
AVON,0.001478830986988,2015,diazepam
AVON,0.00157318188443,2016,diazepam
AVON,0.001559390004012,2017,diazepam
AVON,0.133248424147408,2013,lorazepam
AVON,0.086071710373785,2014,lorazepam
AVON,0.073957525940867,2015,lorazepam
AVON,0.065540746991289,2016,lorazepam
AVON,0.044857129671258,2017,lorazepam
AVON,0.246553025599273,2013,tot_benzo
AVON,0.146921332277433,2014,tot_benzo
AVON,0.12502161615762,2015,tot_benzo
AVON,0.087440591657955,2016,tot_benzo
AVON,0.044832508313028,2017,tot_benzo
AVON,8.48002365918016,2013,tot_opioid
AVON,7.284779675919038,2014,tot_opioid
AVON,6.299497430411637,2015,tot_opioid
AVON,6.023596206684169,2016,tot_opioid
AVON,5.402125593154596,2017,tot_opioid
AYER,0.057722501985571,2013,alprazolam
AYER,0.077616819808059,2014,alprazolam
AYER,0.031610083088342,2015,alprazolam
AYER,0.050629398330022,2016,alprazolam
AYER,0.059657943411354,2017,alprazolam
AYER,0.013529735791392,2013,diazepam
AYER,0.052853565120467,2014,diazepam
AYER,0.00110550031499,2015,diazepam
AYER,0.044847577133373,2016,diazepam
AYER,0.057314181683288,2017,diazepam
AYER,0.265197151495339,2013,lorazepam
AYER,0.195826200645521,2014,lorazepam
AYER,0.077630673956759,2015,lorazepam
AYER,0.258239136374781,2016,lorazepam
AYER,0.263639993502621,2017,lorazepam
AYER,0.335400052256768,2013,tot_benzo
AYER,0.32552404450046,2014,tot_benzo
AYER,0.108390492302742,2015,tot_benzo
AYER,0.352782598970632,2016,tot_benzo
AYER,0.379914479651005,2017,tot_benzo
AYER,27.935376967615596,2013,tot_opioid
AYER,27.179593756289258,2014,tot_opioid
AYER,18.583946497781515,2015,tot_opioid
AYER,21.14195956292016,2016,tot_opioid
AYER,22.542087291691296,2017,tot_opioid
BARNSTABLE,0.170593652450597,2013,alprazolam
BARNSTABLE,0.232658704585849,2014,alprazolam
BARNSTABLE,0.216413740282175,2015,alprazolam
BARNSTABLE,0.260877819182156,2016,alprazolam
BARNSTABLE,0.276201838662977,2017,alprazolam
BARNSTABLE,0.079512700250324,2013,diazepam
BARNSTABLE,0.108960134995113,2014,diazepam
BARNSTABLE,0.081110202742474,2015,diazepam
BARNSTABLE,0.102222034179186,2016,diazepam
BARNSTABLE,0.104407854120915,2017,diazepam
BARNSTABLE,0.508519553723561,2013,lorazepam
BARNSTABLE,0.590387719587266,2014,lorazepam
BARNSTABLE,0.57726243111203,2015,lorazepam
BARNSTABLE,0.707559060723991,2016,lorazepam
BARNSTABLE,0.726007333778415,2017,lorazepam
BARNSTABLE,0.758707974855281,2013,tot_benzo
BARNSTABLE,0.932149797232445,2014,tot_benzo
BARNSTABLE,0.874882058067313,2015,tot_benzo
BARNSTABLE,1.070812474360599,2016,tot_benzo
BARNSTABLE,1.10678099167693,2017,tot_benzo
BARNSTABLE,36.33180563524499,2013,tot_opioid
BARNSTABLE,45.099732186687056,2014,tot_opioid
BARNSTABLE,47.426714903198004,2015,tot_opioid
BARNSTABLE,52.50927639076196,2016,tot_opioid
BARNSTABLE,53.29435138461336,2017,tot_opioid
BARRE,0.072474965520116,2013,alprazolam
BARRE,0.125257190862233,2014,alprazolam
BARRE,0.125287340664077,2015,alprazolam
BARRE,0.135919635491611,2016,alprazolam
BARRE,0.128016556426482,2017,alprazolam
BARRE,0.191157705713964,2013,diazepam
BARRE,0.261356874245481,2014,diazepam
BARRE,0.384220020848208,2015,diazepam
BARRE,0.334602117177062,2016,diazepam
BARRE,0.430433104248725,2017,diazepam
BARRE,0.370403013051383,2013,lorazepam
BARRE,0.366652942341876,2014,lorazepam
BARRE,0.470971439601616,2015,lorazepam
BARRE,0.541179287524748,2016,lorazepam
BARRE,0.576866547736039,2017,lorazepam
BARRE,0.636356667968784,2013,tot_benzo
BARRE,0.75701508795553,2014,tot_benzo
BARRE,0.987515976716467,2015,tot_benzo
BARRE,1.018140261942583,2016,tot_benzo
BARRE,1.143971836319637,2017,tot_benzo
BARRE,39.38562308519545,2013,tot_opioid
BARRE,42.53044159863489,2014,tot_opioid
BARRE,51.2665366735931,2015,tot_opioid
BARRE,55.451368472275355,2016,tot_opioid
BARRE,57.76516755641656,2017,tot_opioid
BECKET,0.002420167411803,2013,alprazolam
BECKET,0.002541683386399,2014,alprazolam
BECKET,0.002439022726518,2015,alprazolam
BECKET,0.002662538507237,2016,alprazolam
BECKET,0.002704214983334,2017,alprazolam
BECKET,0.002621782696987,2013,diazepam
BECKET,0.002697617145733,2014,diazepam
BECKET,0.002816456161373,2015,diazepam
BECKET,0.002992901319684,2016,diazepam
BECKET,0.002966626686587,2017,diazepam
BECKET,0.004728520157381,2013,lorazepam
BECKET,0.004763815775897,2014,lorazepam
BECKET,0.0047264723609,2015,lorazepam
BECKET,0.004807692247352,2016,lorazepam
BECKET,0.004654935818615,2017,lorazepam
BECKET,0.004249206279634,2013,tot_benzo
BECKET,0.004295882281523,2014,tot_benzo
BECKET,0.004233080517033,2015,tot_benzo
BECKET,0.004462826479166,2016,tot_benzo
BECKET,0.004382014337805,2017,tot_benzo
BECKET,0.00410746375886,2013,tot_opioid
BECKET,0.004081803328298,2014,tot_opioid
BECKET,0.00400901760489,2015,tot_opioid
BECKET,0.003985772285342,2016,tot_opioid
BECKET,0.003903614829971,2017,tot_opioid
BEDFORD,3.36027490274e-4,2013,alprazolam
BEDFORD,3.52724477909e-4,2014,alprazolam
BEDFORD,0.010712225092213,2015,alprazolam
BEDFORD,0.015929303014489,2016,alprazolam
BEDFORD,0.015934573809826,2017,alprazolam
BEDFORD,0.0068319981788,2013,diazepam
