city_resid,2014,2015,2016,2017,2018
dalton,0,0,1,0,0
danvers,4,7,4,9,8
dartmouth,7,2,9,6,4
dedham,4,5,11,2,5
deerfield,0,1,0,0,1
dennis,7,2,6,5,14
dighton,0,0,3,1,2
douglas,0,2,2,2,2
dover,0,0,0,1,0
dracut,7,8,6,5,10
dudley,2,0,1,2,5
dunstable,0,0,0,1,1
duxbury,2,1,3,1,0
east bridgewater,2,2,1,4,6
east brookfield,0,0,0,0,0
east longmeadow,1,4,2,0,1
eastham,5,2,0,1,0
easthampton,2,1,5,4,6
easton,7,7,8,7,5
edgartown,0,0,0,0,1
egremont,0,0,0,0,0
erving,0,0,0,0,0
essex,0,1,0,0,1
everett,29,17,23,18,15
fairhaven,2,7,4,8,4
fall river,38,40,64,55,55
falmouth,8,14,16,20,11
fitchburg,14,19,22,24,15
florida,0,0,0,0,0
foxborough,3,0,7,2,3
framingham,11,12,18,8,20
franklin,3,7,7,2,7
freetown,2,3,3,6,4
gardner,6,6,8,8,12
georgetown,2,2,1,3,2
gill,2,0,0,0,0
gloucester,5,12,9,16,17
goshen,1,0,0,0,0
gosnold,0,0,0,0,0
grafton,2,2,1,0,3
granby,2,2,1,0,1
granville,0,0,0,0,0
great barrington,1,0,1,0,2
greenfield,3,8,7,4,11
groton,0,1,0,1,0
groveland,1,0,1,1,0
hadley,1,0,2,1,2
halifax,0,1,2,0,3
hamilton,1,0,3,0,1
hampden,2,0,1,0,4
hancock,0,0,1,0,0
hanover,1,1,6,1,2
hanson,0,8,2,1,3
hardwick,0,2,2,0,1
harvard,0,0,0,0,1
harwich,1,4,3,1,2
hatfield,1,1,1,1,1
haverhill,34,30,37,28,25
hawley,0,0,0,0,0
heath,0,0,0,0,0
hingham,0,0,1,1,2
hinsdale,2,1,2,0,0
holbrook,4,4,7,4,8
holden,5,4,5,1,3
holland,0,1,0,0,0
holliston,0,5,1,3,1
holyoke,10,6,11,13,14
hopedale,4,0,1,2,1
hopkinton,3,4,0,3,3
hubbardston,2,2,1,1,2
hudson,1,6,3,4,6
hull,2,4,5,7,5
huntington,0,0,0,0,1
ipswich,4,3,3,3,5
kingston,2,2,1,7,2
lakeville,1,0,1,4,2
lancaster,1,2,1,2,0
lanesborough,0,1,1,2,0
lawrence,24,28,45,39,50
lee,2,1,1,3,2
leicester,1,2,2,4,6
lenox,0,0,0,2,0
leominster,10,7,13,16,12
leverett,0,0,0,1,0
lexington,2,3,2,0,3
leyden,0,0,0,0,0
lincoln,0,0,1,0,0
littleton,0,0,2,1,1
longmeadow,0,0,3,0,2
lowell,38,64,68,53,64
ludlow,2,4,6,4,7
lunenburg,2,2,1,3,3
lynn,42,47,46,63,51
lynnfield,2,2,1,2,5
malden,18,21,15,16,18
manchester,0,0,2,0,0
mansfield,2,3,8,8,3
marblehead,0,0,4,5,3
marion,1,1,1,1,1
marlborough,9,8,4,4,14
marshfield,5,2,9,12,8
mashpee,3,11,8,1,2
mattapoisett,0,2,2,1,5
maynard,2,3,0,2,1
medfield,0,0,1,0,2
medford,14,21,17,18,7
medway,0,1,3,0,3
melrose,4,2,10,11,8
mendon,0,1,0,0,2
merrimac,0,2,1,1,1
methuen,13,7,14,20,17
middleborough,5,12,11,7,6
middlefield,0,0,0,0,0
middleton,2,4,2,3,2
milford,4,3,11,6,6
millbury,4,4,4,7,7
millis,1,1,4,1,2
millville,0,1,0,0,0
milton,4,1,6,1,7
monroe,0,0,0,0,0
monson,0,0,3,1,2
montague,2,1,3,2,2
monterey,0,0,0,0,0
montgomery,0,0,1,0,0
mount washington,0,0,0,0,0
nahant,0,1,2,0,0
nantucket,1,1,2,3,1
natick,7,5,3,7,4
needham,0,1,1,1,2
new ashford,0,1,0,0,0
new bedford,28,53,57,45,54
new braintree,0,0,0,0,0
new marlborough,1,0,0,0,0
new salem,0,1,0,0,0
newbury,1,2,1,1,2
newburyport,5,2,4,5,4
newton,6,7,16,9,4
norfolk,1,2,3,0,2
north adams,5,6,6,5,2
north andover,3,4,3,4,1
north attleboro,6,8,8,9,4
north brookfield,1,0,3,1,0
north reading,2,1,2,6,5
northampton,11,4,8,7,8
northborough,0,0,3,2,1
northbridge,1,4,2,4,6
northfield,0,1,0,0,1
norton,5,1,7,5,4
norwell,3,3,1,3,1
norwood,5,7,6,8,6
oak bluffs,1,3,1,1,0
oakham,0,0,0,0,1
orange,2,3,1,1,4
orleans,0,0,2,0,5
otis,0,0,1,0,0
oxford,5,4,7,4,1
palmer,1,1,4,3,7
paxton,1,1,0,0,1
peabody,13,11,11,23,13
pelham,0,0,0,0,0
pembroke,5,4,8,7,0
pepperell,3,3,1,2,2
peru,0,0,0,1,0
petersham,0,0,0,0,0
phillipston,0,0,0,0,0
pittsfield,14,17,18,13,19
plainfield,0,0,0,0,0
plainville,4,0,3,5,0
plymouth,17,20,25,24,20
plympton,0,1,2,0,0
princeton,1,1,1,0,1
provincetown,1,0,0,0,0
quincy,38,47,45,40,39
randolph,7,12,11,6,10
raynham,5,4,2,4,3
reading,4,3,4,6,5
rehoboth,0,2,0,2,2
revere,26,19,26,24,15
richmond,0,0,0,0,0
rochester,1,0,0,2,1
rockland,5,11,22,16,9
rockport,2,3,1,2,2
rowe,0,0,0,0,0
rowley,0,0,0,3,1
royalston,0,0,1,0,0
russell,0,0,0,0,1
rutland,2,0,2,1,1
salem,13,15,18,21,20
salisbury,4,6,12,9,5
sandisfield,0,0,0,0,0
sandwich,3,2,4,3,6
saugus,10,9,13,8,11
savoy,0,0,0,0,0
scituate,5,4,3,3,1
seekonk,1,3,4,2,2
sharon,3,1,1,2,0
sheffield,1,0,0,0,0
shelburne,2,0,1,0,0
sherborn,1,1,1,1,1
shirley,3,0,0,3,0
shrewsbury,1,2,7,8,7
shutesbury,0,0,0,0,0
somerset,2,4,5,5,5
somerville,15,18,21,16,7
south hadley,0,2,4,3,3
southampton,0,1,2,1,0
southborough,0,0,1,0,1
southbridge,2,7,12,5,5
southwick,2,1,2,3,4
spencer,3,10,3,5,4
springfield,22,43,40,38,80
sterling,0,0,2,1,2
stockbridge,0,0,0,1,1
stoneham,5,7,8,6,6
stoughton,10,14,11,7,15
stow,0,1,1,1,0
sturbridge,1,1,2,5,1
sudbury,0,0,0,0,3
sunderland,0,0,1,1,1
sutton,0,1,0,0,2
swampscott,3,2,4,2,4
swansea,5,0,1,5,7
taunton,19,16,29,29,35
templeton,2,2,5,2,4
tewksbury,7,9,13,10,7
tisbury,1,3,1,1,3
tolland,0,0,0,0,1
topsfield,1,0,1,1,0
townsend,2,1,2,4,2
truro,0,0,1,0,0
tyngsborough,1,5,1,3,4
tyringham,0,1,0,0,0
upton,0,0,2,1,2
uxbridge,1,4,0,1,3
wakefield,5,8,9,8,10
wales,0,0,0,1,2
walpole,1,4,7,4,10
waltham,10,11,16,15,7
ware,4,2,9,2,4
wareham,10,7,15,17,15
warren,2,2,0,1,1
warwick,0,1,0,0,0
washington,0,0,0,0,0
watertown,3,11,9,8,3
wayland,1,1,2,2,2
webster,4,8,5,10,9
wellesley,0,2,1,1,1
wellfleet,1,0,0,2,0
wendell,0,0,0,0,0
wenham,1,1,0,1,3
west boylston,3,0,1,3,4
west bridgewater,4,0,3,3,2
west brookfield,2,0,1,0,0
west newbury,0,0,0,0,0
west springfield,6,6,9,11,14
west stockbridge,0,1,0,0,0
west tisbury,1,0,1,0,0
westborough,1,3,4,3,6
westfield,8,7,15,10,18
westford,2,0,3,7,2
westhampton,0,0,0,0,0
westminster,1,0,0,2,4
weston,1,0,0,2,0
westport,4,2,4,6,8
westwood,2,1,5,0,0
weymouth,14,25,40,33,16
whately,0,0,0,0,1
whitman,2,8,1,10,4
wilbraham,0,2,1,0,1
williamsburg,0,0,0,1,1
williamstown,1,0,1,0,1
wilmington,4,8,5,6,6
winchendon,2,2,1,3,5
winchester,4,1,2,1,2
windsor,0,0,0,0,0
winthrop,3,7,4,11,7
woburn,5,7,17,16,14
worcester,56,82,74,82,97
worthington,0,0,0,0,0
wrentham,1,2,5,5,1
yarmouth,6,9,7,8,7
